conversation_id,chunk_id,utterance_id,speaker,social_orientation
101210061.22031.22031,0,4,Abtract,Cold
101210061.22031.22031,0,5,John,Warm-Agreeable
101210061.22031.22031,0,6,Inge,Unassured-Submissive
101210061.22031.22031,0,7,Wangi,Unassuming-Ingenuous
101444035.163487.163463,0,1,Sfacets,Unassured-Submissive
101444035.163487.163463,0,2,Picaroon,Warm-Agreeable
101444035.163487.163463,0,3,Sfacets,Unassuming-Ingenuous
101444035.163487.163463,0,4,UBeR,Cold
101444035.163487.163463,0,5,Angeldeb82,Unassuming-Ingenuous
101444035.163487.163463,0,6,Sfacets,Warm-Agreeable
101444035.163487.163463,0,7,UBeR,Unassuming-Ingenuous
101444035.163487.163463,0,8,FireWeed,Warm-Agreeable
101444035.163487.163463,0,9,UBeR,Cold
101890424.3912.3912,0,1,58.64.103.227,Warm-Agreeable
101890424.3912.3912,0,2,BoxingWear,Cold
101890424.3912.3912,0,3,MKil,Unassuming-Ingenuous
101890424.3912.3912,0,4,BoxingWear,Cold
102069104.268311.268311,0,1,24.82.78.88,Gregarious-Extraverted
102069104.268311.268311,0,2,24.82.78.88,Warm-Agreeable
102069104.268311.268311,0,3,Nethgirb,Unassuming-Ingenuous
102069104.268311.268311,0,4,Raymond arritt,Unassuming-Ingenuous
102069104.268311.268311,0,5,Likwidshoe,Arrogant-Calculating
102069104.268311.268311,0,6,Raymond arritt,Warm-Agreeable
102069104.268311.268311,0,7,Likwidshoe,Cold
102102282.16707.16707,0,1,Laughing Man,Warm-Agreeable
102102282.16707.16707,0,2,HanzoHattori,Arrogant-Calculating
102102282.16707.16707,0,3,Laughing Man,Unassuming-Ingenuous
102154157.16707.16707,0,1,Laughing Man,Unassuming-Ingenuous
102154157.16707.16707,0,2,HanzoHattori,Assured-Dominant
102154157.16707.16707,0,3,Laughing Man,Cold
102154157.16707.16707,0,4,HanzoHattori,Arrogant-Calculating
102266992.271745.271745,0,1,RonCram,Unassuming-Ingenuous
102266992.271745.271745,0,2,William M. Connolley,Warm-Agreeable
102266992.271745.271745,0,3,Likwidshoe,Arrogant-Calculating
102266992.271745.271745,0,4,William M. Connolley,Unassured-Submissive
102266992.271745.271745,0,5,Nethgirb,Warm-Agreeable
102266992.271745.271745,0,6,Likwidshoe,Cold
102266992.271745.271745,0,7,Likwidshoe,Cold
102390554.518.518,0,1,Alice Mudgarden,Unassuming-Ingenuous
102390554.518.518,0,2,Alice Mudgarden,Warm-Agreeable
102390554.518.518,0,3,Alkalada,Unassured-Submissive
102390554.518.518,0,4,Alice Mudgarden,Unassuming-Ingenuous
102390554.518.518,0,5,Alkalada,Unassured-Submissive
102390554.518.518,0,6,Alice Mudgarden,Cold
102964652.2026.2026,0,1,LeanneMillington,Cold
102964652.2026.2026,0,2,PocklingtonDan,Unassuming-Ingenuous
102964652.2026.2026,0,3,LeanneMillington,Assured-Dominant
102964652.2026.2026,0,4,PocklingtonDan,Unassured-Submissive
102964652.2026.2026,0,5,LeanneMillington,Arrogant-Calculating
103044830.207.207,0,1,HongQiGong,Warm-Agreeable
103044830.207.207,0,2,HongQiGong,Gregarious-Extraverted
103044830.207.207,0,3,HongQiGong,Unassured-Submissive
103044830.207.207,0,4,Fatck,Gregarious-Extraverted
103044830.207.207,0,5,24.79.140.141,Aloof-Introverted
103044830.207.207,0,6,HongQiGong,Warm-Agreeable
103044830.207.207,0,7,Fatck,Cold
103071967.14294.14294,0,1,Seigfried4220,Unassuming-Ingenuous
103071967.14294.14294,0,2,Timeshifter,Warm-Agreeable
103071967.14294.14294,0,3,Seigfried4220,Cold
103271295.478.478,0,1,SweetTalker,Warm-Agreeable
103271295.478.478,0,2,SweetTalker,Unassuming-Ingenuous
103271295.478.478,0,3,Rolandpage,Cold
103271295.478.478,0,4,SweetTalker,Warm-Agreeable
103271295.478.478,0,5,66.30.100.33,Cold
103271295.478.478,0,6,SweetTalker,Unassuming-Ingenuous
103271295.478.478,0,7,Rolandpage,Arrogant-Calculating
103431057.478.478,0,1,Dave.Dunford,Warm-Agreeable
103431057.478.478,0,2,Impy4ever,Warm-Agreeable
103431057.478.478,0,3,John Cardinal,Not Available
103431057.478.478,0,4,John Cardinal,Warm-Agreeable
103431057.478.478,0,5,Pawnkingthree,Warm-Agreeable
103431057.478.478,0,6,John Cardinal,Warm-Agreeable
103587368.2010.2010,0,1,PocklingtonDan,Unassured-Submissive
103587368.2010.2010,0,2,Sopoforic,Warm-Agreeable
103587368.2010.2010,0,3,PocklingtonDan,Warm-Agreeable
103587368.2010.2010,0,4,Sopoforic,Warm-Agreeable
10377369.4577.4577,0,1,220.244.224.8,Arrogant-Calculating
10377369.4577.4577,0,2,Deglr6328,Cold
10377369.4577.4577,0,3,Deglr6328,Unassuming-Ingenuous
10377369.4577.4577,0,4,Chris 73,Cold
10377369.4577.4577,0,5,Graft,Warm-Agreeable
10377369.4577.4577,0,6,220.244.224.8,Arrogant-Calculating
10377369.4577.4577,0,7,220.244.224.8,Warm-Agreeable
10377369.4577.4577,0,8,Deglr6328,Unassuming-Ingenuous
10377369.4577.4577,0,9,220.244.224.8,Arrogant-Calculating
10377369.4577.4577,0,10,Deglr6328,Cold
10393207.15946.15946,0,1,Mel Etitis,Unassuming-Ingenuous
10393207.15946.15946,0,2,Mel Etitis,Unassured-Submissive
10393207.15946.15946,0,3,138.130.195.166,Warm-Agreeable
10393207.15946.15946,0,4,138.130.195.166,Unassuming-Ingenuous
10393207.15946.15946,0,5,Mel Etitis,Unassuming-Ingenuous
10393207.15946.15946,0,6,Mel Etitis,Warm-Agreeable
10393207.15946.15946,0,7,138.130.194.229,Unassuming-Ingenuous
10393207.15946.15946,0,8,138.130.194.229,Warm-Agreeable
10393207.15946.15946,0,9,Mel Etitis,Unassuming-Ingenuous
10393207.15946.15946,0,10,138.130.194.229,Warm-Agreeable
104033285.691.691,0,1,Yaguruma,Unassuming-Ingenuous
104033285.691.691,0,2,Floria L,Warm-Agreeable
104033285.691.691,0,3,Yaguruma,Arrogant-Calculating
104033285.691.691,0,4,Floria L,Warm-Agreeable
104033285.691.691,0,5,Yaguruma,Arrogant-Calculating
104033285.691.691,0,6,Floria L,Gregarious-Extraverted
104093979.937.937,0,1,Beetstra,Assured-Dominant
104093979.937.937,0,2,Gilliam,Assured-Dominant
104093979.937.937,0,3,Beetstra,Cold
10413611.96462.96462,0,1,Kevehs,Gregarious-Extraverted
10413611.96462.96462,0,2,RJII,Warm-Agreeable
10413611.96462.96462,0,3,RJII,Unassuming-Ingenuous
10413611.96462.96462,0,4,Kevehs,Unassured-Submissive
10413611.96462.96462,0,5,Kevehs,Arrogant-Calculating
10413611.96462.96462,0,6,RJII,Cold
10414252.98811.98811,0,1,RJII,Arrogant-Calculating
10414252.98811.98811,0,2,Kevehs,Warm-Agreeable
10414252.98811.98811,0,3,RJII,Cold
10414252.98811.98811,0,4,Kevehs,Unassuming-Ingenuous
10414252.98811.98811,0,5,RJII,Cold
10414252.98811.98811,0,6,Kevehs,Assured-Dominant
104266040.31698.31698,0,1,Benje309,Warm-Agreeable
104266040.31698.31698,0,2,Suto,Unassuming-Ingenuous
104266040.31698.31698,0,3,Benje309,Warm-Agreeable
104266040.31698.31698,0,4,Vi Veri Veniversum Vivus Vici,Warm-Agreeable
104266040.31698.31698,0,5,Hbdragon88,Cold
104266040.31698.31698,0,6,Viewdrix,Warm-Agreeable
104271206.32088.32088,0,1,Gavyn Sykes,Unassured-Submissive
104271206.32088.32088,0,2,The Hybrid,Unassuming-Ingenuous
104271206.32088.32088,0,3,Gavyn Sykes,Unassured-Submissive
104271206.32088.32088,0,4,The Hybrid,Unassured-Submissive
104271206.32088.32088,0,5,Wrestlinglover420,Gregarious-Extraverted
104271206.32088.32088,0,6,Big Boss 0,Unassuming-Ingenuous
104271206.32088.32088,0,7,Wrestlinglover420,Arrogant-Calculating
104271206.32088.32088,0,8,Bmg916,Warm-Agreeable
104271206.32088.32088,0,9,Wrestlinglover420,Cold
104289055.68565.68565,0,1,Ioj,Arrogant-Calculating
104289055.68565.68565,0,2,129.70.14.2,Cold
104289055.68565.68565,0,3,Ioj,Cold
104703060.67.67,0,1,75.30.219.118,Warm-Agreeable
104703060.67.67,0,2,NYArtsnWords,Warm-Agreeable
104703060.67.67,0,3,Vintagekits,Aloof-Introverted
104703060.67.67,0,4,Rannpháirtí anaithnid (old),Unassuming-Ingenuous
104703060.67.67,0,5,Vintagekits,Arrogant-Calculating
104859769.55176.55176,0,1,Greenboxed,Unassured-Submissive
104859769.55176.55176,0,2,Acefitt,Warm-Agreeable
104859769.55176.55176,0,3,Greenboxed,Unassured-Submissive
104859769.55176.55176,0,4,Acefitt,Warm-Agreeable
104859769.55176.55176,0,5,74.104.48.172,Unassuming-Ingenuous
104859769.55176.55176,0,6,Greenboxed,Unassured-Submissive
104859769.55176.55176,0,7,Acefitt,Cold
104884181.36843.36843,0,1,Serendipodous,Warm-Agreeable
104884181.36843.36843,0,2,Renamed user abcedarium,Arrogant-Calculating
104884181.36843.36843,0,3,Serendipodous,Warm-Agreeable
104884181.36843.36843,0,4,Deathphoenix,Warm-Agreeable
104884181.36843.36843,0,5,Minderbinder~enwiki,Warm-Agreeable
104887604.5394.5394,0,1,Networkboy,Unassured-Submissive
104887604.5394.5394,0,2,Syrthiss,Assured-Dominant
104887604.5394.5394,0,3,Networkboy,Unassured-Submissive
104887604.5394.5394,0,4,Syrthiss,Warm-Agreeable
10500676.217133.217133,0,1,Ele9699,Unassured-Submissive
10500676.217133.217133,0,2,Kukuman,Assured-Dominant
10500676.217133.217133,0,3,Ele9699,Unassured-Submissive
10500676.217133.217133,0,4,Sciurinæ,Arrogant-Calculating
10500676.217133.217133,0,5,Ele9699,Unassured-Submissive
10500676.217133.217133,0,6,Ele9699,Unassured-Submissive
10500676.217133.217133,0,7,203.103.57.22,Cold
105195073.41724.41549,0,1,Skittle,Warm-Agreeable
105195073.41724.41549,0,2,Minderbinder~enwiki,Warm-Agreeable
105195073.41724.41549,0,3,Skittle,Unassuming-Ingenuous
105195073.41724.41549,0,4,John Reaves,Unassured-Submissive
105195073.41724.41549,0,5,Skittle,Warm-Agreeable
105499048.33287.33287,0,1,Slag 10,Warm-Agreeable
105499048.33287.33287,0,2,Steevven1,Warm-Agreeable
105499048.33287.33287,0,3,Slag 10,Unassuming-Ingenuous
105499048.33287.33287,0,4,Steevven1,Warm-Agreeable
105499048.33287.33287,0,5,Slag 10,Warm-Agreeable
105658326.26623.26623,0,1,G-Man,Warm-Agreeable
105658326.26623.26623,0,2,Tillman,Warm-Agreeable
105658326.26623.26623,0,3,G-Man,Unassured-Submissive
105658326.26623.26623,0,4,Tillman,Warm-Agreeable
105658326.26623.26623,0,5,Jeremy99,Unassuming-Ingenuous
105658326.26623.26623,0,6,Jeremy99,Gregarious-Extraverted
10567295.27347.27347,0,1,Thomas h,Unassured-Submissive
10567295.27347.27347,0,2,149.225.114.185,Unassuming-Ingenuous
10567295.27347.27347,0,3,Thomas h,Arrogant-Calculating
10567295.27347.27347,0,4,Zappaz,Warm-Agreeable
10567295.27347.27347,0,5,213.6.132.254,Cold
10567295.27347.27347,0,6,Jossi,Unassuming-Ingenuous
10567295.27347.27347,0,7,217.185.22.138,Warm-Agreeable
10567295.27347.27347,0,8,217.231.186.238,Arrogant-Calculating
10567295.27347.27347,0,9,Jossi,Cold
105940061.1753.1753,0,1,ERcheck,Warm-Agreeable
105940061.1753.1753,0,2,Looper5920,Unassuming-Ingenuous
105940061.1753.1753,0,3,ERcheck,Warm-Agreeable
105940061.1753.1753,0,4,Looper5920,Unassuming-Ingenuous
105940061.1753.1753,0,5,ERcheck,Warm-Agreeable
105940061.1753.1753,0,6,JPatrickBedell,Warm-Agreeable
105940061.1753.1753,0,7,Looper5920,Cold
105983711.6035.6035,0,1,Towsonu2003~enwiki,Gregarious-Extraverted
105983711.6035.6035,0,2,Syrthiss,Warm-Agreeable
105983711.6035.6035,0,3,Router~enwiki,Arrogant-Calculating
105983711.6035.6035,0,4,Syrthiss,Cold
106086467.6813.6813,0,1,Hipocrite,Cold
106086467.6813.6813,0,2,SCZenz,Warm-Agreeable
106086467.6813.6813,0,3,Hipocrite,Arrogant-Calculating
106097715.8104.8104,0,1,Hipocrite,Arrogant-Calculating
106097715.8104.8104,0,2,SCZenz,Warm-Agreeable
106097715.8104.8104,0,3,Dweller,Unassuming-Ingenuous
106255236.25874.25874,0,1,Jheald,Warm-Agreeable
106255236.25874.25874,0,2,213.48.46.141,Unassuming-Ingenuous
106255236.25874.25874,0,3,Nasz,Warm-Agreeable
106255236.25874.25874,0,4,Dbachmann,Warm-Agreeable
106255236.25874.25874,0,5,Dbachmann,Cold
10637415.35440.35440,0,1,Ta bu shi da yu,Cold
10637415.35440.35440,0,2,Skyring,Unassuming-Ingenuous
10637415.35440.35440,0,3,PDH,Arrogant-Calculating
10637415.35440.35440,0,4,Skyring,Unassured-Submissive
10637415.35440.35440,0,5,Adam Carr,Unassuming-Ingenuous
10637415.35440.35440,0,6,Skyring,Arrogant-Calculating
10637415.35440.35440,0,7,Adam Carr,Assured-Dominant
10637415.35440.35440,0,8,Skyring,Unassured-Submissive
106700421.14794.14794,0,1,Stephan Schulz,Warm-Agreeable
106700421.14794.14794,0,2,UBeR,Arrogant-Calculating
106700421.14794.14794,0,3,Raul654,Cold
106700421.14794.14794,0,4,UBeR,Arrogant-Calculating
106700421.14794.14794,0,5,UBeR,Cold
106700421.14794.14794,0,6,UBeR,Arrogant-Calculating
106720504.622.622,0,1,Randomfrenchie,Gregarious-Extraverted
106720504.622.622,0,2,Gdo01,Warm-Agreeable
106720504.622.622,0,3,Randomfrenchie,Unassured-Submissive
106720504.622.622,0,4,Gdo01,Warm-Agreeable
106720504.622.622,0,5,Randomfrenchie,Unassured-Submissive
106720504.622.622,0,6,Gdo01,Cold
107028811.66071.66071,0,1,Gutsarin,Unassuming-Ingenuous
107028811.66071.66071,0,2,Jidan,Assured-Dominant
107028811.66071.66071,0,3,Egyegy~enwiki,Warm-Agreeable
107028811.66071.66071,0,4,Jidan,Assured-Dominant
107028811.66071.66071,0,5,Egyegy~enwiki,Warm-Agreeable
107028811.66071.66071,0,6,Jidan,Arrogant-Calculating
107028811.66071.66071,0,7,Egyegy~enwiki,Warm-Agreeable
107028811.66071.66071,0,8,Jidan,Warm-Agreeable
107047394.5221.5221,0,1,Elonka,Unassured-Submissive
107047394.5221.5221,0,2,Looper5920,Warm-Agreeable
107047394.5221.5221,0,3,Elonka,Warm-Agreeable
107319885.2036.0,0,1,Attilios,Unassuming-Ingenuous
107319885.2036.0,0,2,Gavinthesavage,Gregarious-Extraverted
107319885.2036.0,0,3,Ravenswing,Arrogant-Calculating
107319885.2036.0,0,4,Gavinthesavage,Unassured-Submissive
107319885.27209.0,0,1,Attilios,Warm-Agreeable
107319885.27209.0,0,2,Yankees76,Assured-Dominant
107319885.27209.0,0,3,Attilios,Unassured-Submissive
107319885.27209.0,0,4,Yankees76,Arrogant-Calculating
107404932.1360.1360,0,1,Ac2565,Unassured-Submissive
107404932.1360.1360,0,2,Imper1um,Warm-Agreeable
107404932.1360.1360,0,3,Ac2565,Unassured-Submissive
107404932.1360.1360,0,4,Imper1um,Unassuming-Ingenuous
107404932.1360.1360,0,5,Ac2565,Unassured-Submissive
107404932.1360.1360,0,6,Ac2565,Cold
107493556.40549.40549,0,1,Black Kat,Unassured-Submissive
107493556.40549.40549,0,2,Elaich,Warm-Agreeable
107493556.40549.40549,0,3,Black Kat,Unassuming-Ingenuous
107493556.40549.40549,0,4,Elaich,Unassured-Submissive
107493556.40549.40549,0,5,Black Kat,Unassured-Submissive
107759051.607.484,0,1,Royal-22,Unassured-Submissive
107759051.607.484,0,2,Imper1um,Arrogant-Calculating
107759051.607.484,0,3,Royal-22,Unassured-Submissive
107759051.607.484,0,4,67.186.139.224,Warm-Agreeable
107759051.607.484,0,5,Ac2565,Unassuming-Ingenuous
107996234.3849.3849,0,1,Mmackinnon,Unassured-Submissive
107996234.3849.3849,0,2,Uptowner,Arrogant-Calculating
107996234.3849.3849,0,3,Deepz2,Warm-Agreeable
107996234.3849.3849,0,4,Deepz2,Unassuming-Ingenuous
107996234.3849.3849,0,5,Uptowner,Cold
107996234.3849.3849,0,6,Deepz2,Assured-Dominant
107996234.3849.3849,0,7,Deepz2,Cold
108176670.53894.53894,0,1,64.128.85.2,Warm-Agreeable
108176670.53894.53894,0,2,Caniago,Unassuming-Ingenuous
108176670.53894.53894,0,3,MetsFan76,Warm-Agreeable
108254711.66560.66560,0,1,AndersFeder,Gregarious-Extraverted
108254711.66560.66560,0,2,SEWilco,Unassuming-Ingenuous
108254711.66560.66560,0,3,Scott,Warm-Agreeable
108254711.66560.66560,0,4,SEWilco,Unassured-Submissive
108254711.66560.66560,0,5,AndersFeder,Cold
108309135.0.0,0,1,Gwinva,Warm-Agreeable
108309135.0.0,0,2,Florrie,Unassuming-Ingenuous
108309135.0.0,0,3,Gwinva,Warm-Agreeable
108309135.0.0,0,4,Florrie,Warm-Agreeable
108309135.0.0,0,5,Illyria05,Gregarious-Extraverted
108309135.0.0,0,6,Mel Etitis,Unassuming-Ingenuous
108309135.0.0,0,7,Florrie,Unassured-Submissive
108309135.0.0,0,8,Mel Etitis,Cold
108309135.0.0,0,9,Florrie,Arrogant-Calculating
10900408.9470.9470,0,1,Golbez,Unassured-Submissive
10900408.9470.9470,0,2,24.235.186.61,Warm-Agreeable
10900408.9470.9470,0,3,Jdorje,Unassuming-Ingenuous
10900408.9470.9470,0,4,24.98.195.64,Warm-Agreeable
10900408.9470.9470,0,5,Golbez,Unassuming-Ingenuous
10900408.9470.9470,0,6,Jdorje,Unassuming-Ingenuous
10900408.9470.9470,0,7,Golbez,Cold
10905256.85840.85840,0,1,Mattley,Warm-Agreeable
10905256.85840.85840,0,2,Ultramarine,Arrogant-Calculating
10905256.85840.85840,0,3,Che y Marijuana,Unassuming-Ingenuous
10905256.85840.85840,0,4,Ultramarine,Cold
10905256.85840.85840,0,5,Che y Marijuana,Unassured-Submissive
10905256.85840.85840,0,6,Che y Marijuana,Warm-Agreeable
10905256.85840.85840,0,7,Ultramarine,Arrogant-Calculating
10905256.85840.85840,0,8,Che y Marijuana,Unassured-Submissive
109154007.12985.12985,0,1,24.215.36.168,Warm-Agreeable
109154007.12985.12985,0,2,24.215.36.168,Unassuming-Ingenuous
109154007.12985.12985,0,3,24.215.36.168,Unassured-Submissive
109154007.12985.12985,0,4,BGModels,Warm-Agreeable
109154007.12985.12985,0,5,BGModels,Warm-Agreeable
109154007.12985.12985,0,6,BGModels,Warm-Agreeable
109154007.12985.12985,0,7,3RingCircus,Warm-Agreeable
109154007.12985.12985,0,8,Isyouis,Warm-Agreeable
109195877.11310.11310,0,1,62.136.238.65,Unassured-Submissive
109195877.11310.11310,0,2,Pogsurf,Gregarious-Extraverted
109195877.11310.11310,0,3,Threeafterthree,Cold
109195877.11310.11310,0,4,Nssdfdsfds,Warm-Agreeable
109195877.11310.11310,0,5,DWaterson,Warm-Agreeable
109195877.11310.11310,0,6,Nssdfdsfds,Unassuming-Ingenuous
109195877.11310.11310,0,7,Pogsurf,Warm-Agreeable
109203891.11364.11364,0,1,62.136.238.65,Unassured-Submissive
109203891.11364.11364,0,2,Pogsurf,Warm-Agreeable
109203891.11364.11364,0,3,Nssdfdsfds,Cold
109203891.11364.11364,0,4,Pogsurf,Arrogant-Calculating
109266893.1218.1218,0,1,Jimp,Unassuming-Ingenuous
109266893.1218.1218,0,2,The Ogre,Warm-Agreeable
109266893.1218.1218,0,3,Provocateur,Gregarious-Extraverted
109376539.2407.2407,0,1,Badagnani,Cold
109376539.2407.2407,0,2,Ideogram,Unassured-Submissive
109376539.2407.2407,0,3,Badagnani,Arrogant-Calculating
109376539.2407.2407,0,4,Ideogram,Cold
10942836.99038.99038,0,1,Adam Carr,Assured-Dominant
10942836.99038.99038,0,2,Skyring,Unassuming-Ingenuous
10942836.99038.99038,0,3,Adam Carr,Cold
10942836.99038.99038,0,4,Skyring,Warm-Agreeable
10942836.99038.99038,0,5,Adam Carr,Unassured-Submissive
10942836.99038.99038,0,6,Skyring,Arrogant-Calculating
10942836.99038.99038,0,7,Michael Snow,Warm-Agreeable
10942836.99038.99038,0,8,Adam Carr,Cold
109562615.10646.10646,0,1,Mmackinnon,Unassured-Submissive
109562615.10646.10646,0,2,Mmackinnon,Warm-Agreeable
109562615.10646.10646,0,3,Uptowner,Warm-Agreeable
109562615.10646.10646,0,4,Mmackinnon,Warm-Agreeable
109562615.10646.10646,0,5,Deepz2,Unassured-Submissive
109562615.10646.10646,0,6,WJBscribe,Unassuming-Ingenuous
109562615.10646.10646,0,7,Deepz2,Unassured-Submissive
109651810.238934.238934,0,1,271828182,Warm-Agreeable
109651810.238934.238934,0,2,KD Tries Again,Unassuming-Ingenuous
109651810.238934.238934,0,3,Poor Yorick,Warm-Agreeable
109651810.238934.238934,0,4,Peter Damian (original account),Gregarious-Extraverted
109651810.238934.238934,0,5,Peter Damian (original account),Warm-Agreeable
109651810.238934.238934,0,6,Peter Damian (original account),Warm-Agreeable
109651810.238934.238934,0,7,Peter Damian (original account),Warm-Agreeable
109651810.238934.238934,0,8,Peter Damian (original account),Unassuming-Ingenuous
109651810.238934.238934,0,9,Rick Norwood,Warm-Agreeable
109651810.238934.238934,0,10,Stringman5,Unassured-Submissive
110234901.0.0,0,1,Rpgman456,Unassured-Submissive
110234901.0.0,0,2,Rpgman456,Unassured-Submissive
110234901.0.0,0,3,Polaron,Warm-Agreeable
110234901.0.0,0,4,Rpgman456,Unassured-Submissive
110234901.0.0,0,5,68.198.52.201,Warm-Agreeable
110260019.134313.134313,0,1,Shenme,Unassuming-Ingenuous
110260019.134313.134313,0,2,71.99.120.132,Cold
110260019.134313.134313,0,3,Shenme,Warm-Agreeable
110260019.134313.134313,0,4,Pethr,Arrogant-Calculating
110260019.134313.134313,0,5,Pethr,Not Available
110260019.134313.134313,0,6,Pethr,Warm-Agreeable
110260019.134313.134313,0,7,71.99.120.132,Cold
11033774.4772.4772,0,1,SeanDuggan,Unassured-Submissive
11033774.4772.4772,0,2,23skidoo,Warm-Agreeable
11033774.4772.4772,0,3,Killridemedly,Unassuming-Ingenuous
11033774.4772.4772,0,4,ToothingLummox,Warm-Agreeable
11033774.4772.4772,0,5,Mikejonas,Unassured-Submissive
110377606.18342.18342,0,1,RichardWeiss,Unassured-Submissive
110377606.18342.18342,0,2,Stesimbrotus,Warm-Agreeable
110377606.18342.18342,0,3,RichardWeiss,Aloof-Introverted
110377606.18342.18342,0,4,82.46.231.222,Warm-Agreeable
110377606.18342.18342,0,5,Stesimbrotus,Warm-Agreeable
110377606.18342.18342,0,6,Melodia,Assured-Dominant
110377606.18342.18342,0,7,Otheus,Gregarious-Extraverted
11048967.2230.2230,0,1,Jaybuffington,Unassuming-Ingenuous
11048967.2230.2230,0,2,Rhobite,Warm-Agreeable
11048967.2230.2230,0,3,Lee Daniel Crocker,Assured-Dominant
11048967.2230.2230,0,4,Lee Daniel Crocker,Warm-Agreeable
11048967.2230.2230,0,5,194.109.122.30,Unassured-Submissive
110518877.1035.1035,0,1,Jaxsonjo,Warm-Agreeable
110518877.1035.1035,0,2,J Clear,Unassuming-Ingenuous
110518877.1035.1035,0,3,192.30.202.15,Aloof-Introverted
110518877.1035.1035,0,4,75.76.213.106,Unassured-Submissive
110518877.1035.1035,0,5,Thewellman,Warm-Agreeable
110757749.4492.4492,0,1,Nonononono~enwiki,Cold
110757749.4492.4492,0,2,Natalie Erin,Warm-Agreeable
110757749.4492.4492,0,3,Nonononono~enwiki,Unassured-Submissive
110757749.4492.4492,0,4,Natalie Erin,Unassuming-Ingenuous
110757749.4492.4492,0,5,Nonononono~enwiki,Cold
110963287.57675.57675,0,1,Rosetown,Unassuming-Ingenuous
110963287.57675.57675,0,2,Trevor MacInnis,Warm-Agreeable
110963287.57675.57675,0,3,Rosetown,Warm-Agreeable
110963287.57675.57675,0,4,Trevor MacInnis,Unassuming-Ingenuous
110963287.57675.57675,0,5,Rosetown,Warm-Agreeable
111036569.15732.15732,0,1,64.85.234.166,Unassured-Submissive
111036569.15732.15732,0,2,Oni Ookami Alfador,Warm-Agreeable
111036569.15732.15732,0,3,64.85.234.166,Unassured-Submissive
111036569.15732.15732,0,4,Rawrfiend,Arrogant-Calculating
111036569.15732.15732,0,5,64.85.234.166,Unassured-Submissive
111036569.15732.15732,0,6,172.141.169.53,Cold
111111127.90680.90680,0,1,Mountolive,Cold
111111127.90680.90680,0,2,Martorell,Warm-Agreeable
111111127.90680.90680,0,3,Xtv,Unassuming-Ingenuous
111111127.90680.90680,0,4,Maurice27,Unassured-Submissive
111111127.90680.90680,0,5,Xtv,Arrogant-Calculating
111347757.330.330,0,1,Ed Poor,Unassuming-Ingenuous
111347757.330.330,0,2,Dave souza,Warm-Agreeable
111347757.330.330,0,3,Balderdash707,Unassuming-Ingenuous
111347757.330.330,0,4,Bridnour,Warm-Agreeable
111347757.330.330,0,5,Hrafn,Warm-Agreeable
111347757.330.330,0,6,Bridnour,Unassuming-Ingenuous
111356473.3090.3090,0,1,Italiavivi,Arrogant-Calculating
111356473.3090.3090,0,2,Hipocrite,Assured-Dominant
111356473.3090.3090,0,3,Italiavivi,Cold
111356473.3090.3090,0,4,Hipocrite,Cold
111452484.5860.5860,0,1,Tesscass,Warm-Agreeable
111452484.5860.5860,0,2,Natalie Erin,Assured-Dominant
111452484.5860.5860,0,3,Tesscass,Unassuming-Ingenuous
111544183.27079.27079,0,1,Rconroy,Warm-Agreeable
111544183.27079.27079,0,2,Malikf,Warm-Agreeable
111544183.27079.27079,0,3,Malikf,Unassured-Submissive
